m -große,
TL gehäuft,TL
Bündel,Bund
Dose/n,Dose
EL gehäuft,EL
EL gestr,EL
Flaschen,Flasche
Handvoll,Tasse
Knolle/n,
Kopf,
Kugel,
Kugel/n,
Kugeln,
Köpfe,
Liter,L

